"auction_id","category_id","title","description",current_price,init_price,"start_time","end_time","bids","bid_or_buy","condition",seller_point
"175340085","2084193580","SONY 純正　ACアダプター　PCGA-AC16V1 16V","写真に写っている物が全てです。ノークレーム、ノーリターンでお願いします。定型外対応です。他にも出品しております。オークション終了後、２日以内にご連絡が頂けない場合はキャンセルとさせて頂きます。",350,350,"2014-05-21 21:19:41","2014-05-23 21:19:41","1","N","used",2210
"179264670","2084193577","●SONY ** VAIO** PCG-8W1N **ジャンク品●","ご覧いただきまして誠にありがとうございます。&nbsp;商品内容は写真に写っている物が全てです。専用の電源ないので、動作については未確認です。ジャンク品扱いにてお願いします。中古品ですので、使用に伴う汚れと細かい傷などはございます。当方専門業者ではありませんので、動作の保証等はございません。全てご理解、納得した上ノ－クレ－ム・ノ－リタ－ンで入札お願いいたします。写真と記載内容をよくご覧になり、納得できないことがありましたら入札はお控え下さい。&nbsp;その他、色々と出品しておりますので宜しければ御覧頂けましたら幸いです。※落札後のキャンセルはお受けできません。※メールの返信は、落札後2日以内にお願い致します。ご連絡の無い場合は、落札者都合にて削除する場合がございます。ご了承下さい。※支払いを確認した後、商品を発送します。営業日、2日以内のご入金をお願いしております。※梱包については、再利用段ボール、プチプチ、新聞紙、クラフト用紙等で梱包します。※休日は、ご連絡及び発送が遅れることがあります。ご了承下さい。　※yahoo!かんたん決済**ゆうちょ銀行口座への振込みとなります。新規/評価が５以下の方、及び、『非常に悪い・悪い』評価が5以上ある方は、入札前に、購入意志があり迅速な取引が出来る旨を、『出品者への質問』から連絡下さい。※上記お守りいただけない場合は、こちらの判断で入札を取消し・落札者都合によるキャンセルとさせていただきますので予めご承知下さい。※評価に関しましては、私のほうに評価を頂いた方にのみ、評価を入れさしていただきます。私のほうから評価は致しませんので、評価を入れても良いという方のみ、評価を入れて下さい。私の方からも評価を入れさしていただきます。この点ご注意下さい。&nbsp;",4100,4000,"2014-05-16 20:03:09","2014-05-23 19:52:40","3","N","used",904
"179291478","2084193579","バイオノートΖ PCG-Z1XE/B","商品に興味をもっていただき、ありがとうございます。以下お読みいただき、入札をお待ちしています。【商品の説明】ブランド・メーカー:ソニー型番:PCG-Z1XE/BCPU:PentiumM1.5GHz液晶:SXGA14.1型1400x1050WiFi:無しHDD:UltraATA但しHDD無しCD/DVDコンボドライブその他:HDDを接続してWindows7Proをィンストールしてみました。1400x1050なので、デスクトツプが広く使えて便利です。HDDは繋げるだけで、変換アダブタ等は不要です。10Gもあれば十分と思います。【商品の状態】出品は、パソコン本体(HDD無し)パソコンのバッテリーのみになります。右のシフトキートップありませんWiFiありません実験機や部品取りにいかがですか？Windows7を入れる時は、HDDを取付けてインストールが必要です。AC97のサウンドドライバーは見っけられませんでした。ディスプレイドライバーは、標準ドライバーで表示されます。それなりの知識が必要です。元々は、windowsXP用です。注意事項:ノークレーム、ノーリターンでお願いします。【その他】不明点はご質問ください。（2014年5月17日15時41分追加）メモリは256MByteです。windows7インストールの際に512M追加しましたが、これは付属しません（2014年5月18日7時33分追加）AC97は、古いドライバーを入れたりしてみたら、正常にupdateが効いたのかもしれません。動作するようになりました。これで音が出るので、一通りは使えそうですね。（2014年5月19日21時33分追加）実は同一機を数台持っており、押入から出てきて、今回の出品となりました。補足します。外観は、まあ古いので、擦り傷とかありますが、割れたりとかはありません。バラして放置していたので、ネジが、不足しています。WindowsXPのライセンスシールは、ありません。Windows7化のその後ですが、ディスプレイアダプタが、標準VGAになってしまい、ATIの本来の力が出せていません。サブスコアですがプロセッサ:2.7、メモリ:3.8、グラフイック:1.0、HD:4.3となりました。アクセラレータを何とかしたいです。",512,100,"2014-05-17 14:46:29","2014-05-24 22:46:29","9","N","used",80
"179340474","2084193580","【難あり】VAIO type Z VPCZ13AGJ /i7/SSD256GB/widows7","★☆VAIOtypeZVPCZ13AGJ/i7/SSD256GB/widows7☆★★商品説明★SONYVAIOtypeZVPCZ13AGJCorei7-640M2.80GHz(ターボ・ブースト利用時は最大3.46GHz)メモリ8GBSSD256GB/バックライトKBWindows7Professional(64)13.1型ワイド(16:9)FullHDTFTカラー液晶(1920×1080)[VAIOディスプレイプレミアム]LEDバックライト・アンチグレア・低反射コートAdobeRGBカバー率96%DVDスーパーマルチドライブSPEEDモード設定時:NVIDIAGeForceGT330MGPU★注意事項★USED液状画面に難あり（縦線が常時入ります）その他の動作は問題ありません付属品はACアダプター、元箱、取説です★発送詳細★■はこBOON[愛知]880円(愛知)[北海道]1380円(北海道)[東北]1080円(青森、岩手、秋田、山形、宮城、福島)[関東]980円(茨城、栃木、群馬、埼玉、千葉、東京、神奈川、山梨)[信越]980円(新潟、長野)[中部]980円(静岡、岐阜、三重)[北陸]980円(富山、石川、福井)[関西]980円(滋賀、京都、大阪、兵庫、奈良、和歌山)[中国]1080円(鳥取、岡山、島根、広島、山口)[四国]1080円(香川、徳島、愛媛、高知)[九州]1180円(福岡、佐賀、大分、熊本、長崎、宮崎、鹿児島)[沖縄]1480円(沖縄)★支払方法★■銀行振込三菱東京UFJ、ジャパネットバンク■ゆうちょ銀行■Yahoo!かんたん決済こちらの商品案内は「■@即売くん4.00■」で作成されました。この他にも出品しておりますので宜しければご覧ください。",32500,15000,"2014-05-18 18:05:37","2014-05-24 22:01:04","21","N","used",962
"179344372","2084193580","レア 極美品 SONY VAIO SVT13117FGS Win7/i7-3517U/8GB/500GB","VAIOの海外モデルとなります。※商品説明※メーカー名：SONY製品名(型番)：VAIOTシリーズ[SVT13117FGS]CPU：Corei7-3717U1.90GHz(2コア/4スレッド)メモリ：8GB（8192MB）ストレージ：HDD500GB光学ドライブ：なし画面サイズ：13.3型ワイド1366x768ドット有線LAN/無線LAN：1000BASE/無線LAN内蔵キーボード：英字配列OSシステム：Windows7HomePremium64bit(リカバリー領域あり)●付属品ACアダプター（ACコード3種類付属）、内蔵バッテリー、説明書類(英語)、元箱■商品状態極美品!液晶は傷なく、発色も大変綺麗です。ドット欠けも見当たりません！キーボード、パームレストとも大変綺麗な状態で、まったく使用感がないと言っていいでしょう！トップカバー、底面とも綺麗な状態ですが、トップカバーにはわずかに擦り傷があります。底面にWindows7HomePremiumのプロダクトシールがあります。HDD内にリカバリー領域があり、いつでもDtoDリカバリーすることが可能です。こちらの機種は海外向けのモデルなので、OSのオリジナル言語は英語・中国語・タイ語・ベトナム語・アラビア語（リカバリーする際に、選択できます）となります。更にVistalizatorを使って日本語化にしましたので、現状は日本語のOSとなります。日本国内用のACコードの他に、海外用のACコードも付属します。海外出張でも変換プラグなしで使えます。本機種はWEBカメラをはじめ、USB3.0、Bluetooth、HDMIなど搭載し、ほぼモバイルPCのすべての機能を網羅しています。※注意点1.あくまでも中古品のために、ノンクレーム・ノンリターンにてお願いいたします。ご理解の上、ご入札お願いいたします。2.いたずら入札が多発しているために、不本意ながら、悪い評価が多いIDの入札を削除する場合がありますので、あらかじめご了承ください。▲その他WEBカメラ、HDMI端子、Bluetooth、USB3.0、メモリーカードスロットなど搭載。詳細スペックはメーカページを参照いただければと思います。http://www.sony-mea.com/product/svt13117fg格安のはこBOONで発送させていただきます、全国一律880円！",17000,1,"2014-05-18 19:56:12","2014-05-25 22:30:08","24","N","used",299
"179368424","2084193580","VAIO VGN-SZ74B/B　メモリMAX4GB/割と美品!!","poweredby無料簡単アレンジ自由なフォト追加【フォトもっと】最初にお断りしておきますが、当方は20年来Mac一筋できましたので、Windowsマシンについては全くわかりません。商品説明にピント外れな点ありましても何卒ご容赦願います。仮にご質問いただいても自分では回答出来ませんので、確認してお答えします。そのため、回答にお時間いただきますことご了承願います。SONYVAIOVGN-SZ74B/Bになります。息子が使っておりました。出品にあたりリカバリ済みです（WindowsVistaHomePremium）写真ではセットアップ画面になっていますが、撮影後に仮のユーザIDと仮パスワードでセットアップしています。落札者様の方で、新規管理者設定していただくか、再度リカバリしていただくなどの方法でお使いください。OfficePersonal2007が付属していますが、リカバリ後インストールしていません。これも落札者様の方でインストールしてください。一応スペックを記しておきますが、・CPU：Core2Duo2GHz/T7400・メモリ：4GB（2GBx2)DDR2-667（標準搭載の512MBx2枚は付属しません）・HDD：160GB・光学ドライブ：DVDスーパーマルチドライブ（DVD±RDL対応）付属品は写真の通り、おそらく欠品ないと思いますが、正確に欠品の有無についてはわかりません。外観は使用に伴うスレや小キズありますが、目立つキズや破損はありません。割と美品な部類かと思われます。しかし、あくまでも中古品ですので、極端にキズ等の有無にこだわる方はご遠慮ください。発送は宅急便の元払いでお願いします。80サイズを予定しています。適正価格がわかりませんので、１円スタートとさせていただきます。悪い評価の多い方や、新規の方、過去にキャンセル歴の多い方などは、こちらの判断で取り消しさせていただく場合ありますので、ご了承ください。（2014年5月19日13時29分追加）CPUスペック説明にT7400と記しましたが、T7300の誤りでした。訂正してお詫びします。（2014年5月19日19時11分追加）出品時にかんたん決済のチェックを忘れていました。いまチェック入れましたので、かんたん決済でのお支払いも可能です。",8550,1,"2014-05-19 10:52:40","2014-05-23 23:46:03","28","N","used",511
"179381254","2084193581","中古SONYソニーVAIO Duo11 SVD11219CJB Win8/i5 増設バッテリ付","中古SONYVAIODuo11SVD11219CJBOS:Windows8CPU:インテルCorei5-3317U1.7GHzメモリ:4GBSSD:128GB付属品:Office2010、デジタイザースタイラスペン、ノイズキャンセリングヘッドホン、ACアダプタ、リチャージャブルバッテリ(内蔵)写真の純正シートバッテリー(VGP-BPSC31)をお付けします。家での使用のみでした。タッチパネルは液晶シートを貼って使っていたので特に傷などはありませんが、中古品としてご理解の上でご入札をお願いします。詳細な情報はこちらのHPを参照してください。http://www.sony.jp/vaio/pre_include/html/VD21/spec_retail.htmlよろしくお願いいたします。",63500,30000,"2014-05-19 15:42:04","2014-05-25 15:21:00","21","N","used",129
"179400366","2084193578","【BIOS表示okジャンク】 VAIO VPCF138FJ Corei5 2.53GHz [H461]","☆彡☆★☆　出品内容　☆彡★☆★・商品名SONYVAIOVPCF138FJ・商品の説明◆CPU：Corei5-460Mプロセッサー　　2.53GHz　　◆メモリ：2GB　◆HDD：無し　(マウンター有り・ネジ無し)　◆光学ドライブ：ブルーレイディスクドライブ　(簡単なCD読み込みのみ確認)◆液晶：16.4型ワイド　　◆プロダクトキーシール:Windows7HomePremium　◆付属品：無し　(ACアダプタもありません)　※OSはインストールされていません※ジャンク品に関しましては保障は御座いませんのでご了承ください　　・商品の状態★テスト用ACを使用してBIOS画面の表示を確認済みです。★電源ボタンが内部で破損していてずっと押されたままの状態になっている為すぐに電源が落ちます。★その為電源ボタンを外してお渡し致します。★電源ボタンを外して電源を入れると電源は落ちずBIOS画面の表示ができました。★電源を入れる時や切る時は細いピン等で電源ボタンを押してください。★上記以外の動作は全て未確認です。★DVD,ブルーレイディスクの読み込みは未確認です。★電源ボタン周りに歪みがあります。★キーボード上の右端のカバーが浮いてます。★液晶には目立った傷は見当たりませんでした。★キーの文字消えは見当たりませんでした。★文字入力は未確認です。★B-CASカードはありません。★その他のデバイスについてもすべて未チェックです。★写真に写っている状態でのお渡しとなります。※ジャンク品の為、簡易メンテでのお渡しです※中古品ですので、経年なりの傷や使用感がございます。神経質な方のご入札はご遠慮下さい。予めご了承お願いします。ノークレーム・ノーリターンでお願いいたします。　※土日祝は営業を致しておりません。取引連絡・発送業務・質問回答は平日となりますのでご了承ください。　・注意事項保証について・到着日を含め7日間を初期不良保証期間と致します。　　それ以降の不具合に対しましては、保証出来かねますのでご了承願います。　　　※到着後必ず動作確認をこの期間内にお願い致します。　　　万一初期不良が発生した場合は、ご返金での対応となります。　　　ご返金額は商品代金+送料の合計とさせていただきます。　　　尚、お客様がご用意されました部品等は保証の対象外となります。　　　お客様都合での商品の返品および交換は承っておりません。保証の対象外となるもの　　　・消耗品パーツ、(バッテリ、内蔵電池、液晶のバックライト)の不良、劣化等　　　　ドライブ、モーター使用パーツ類の振動、動作音、HDDの不良セクタ　　　　ゴム足、PCカードスロットのダミーカード、PCI、AGPスロットの隠し蓋　　　　コネクタカバー、キャップの欠品、キーボードの文字かすれ　　　・メーカーで認めている仕様、動作等(液晶のドット抜け等)　　　・その他動作に支障が無い外観上のワレ、ヒビ、キズ、塗装ハゲ、スレ　　　　(当方判断にて目立つものは明記しています)　　　・お客様によるOS、各種ソフトのインストール等にて発生した不具合、　　　　周辺機器との相性や互換性での不具合　　　・お客様による故意、過失にかかわらず、増設、改造行為や、　　　　不適切なお取扱いにより発生した不具合　　　・お送りした商品、付属品が全て揃っていない物　　　・外部からの要因で故障が発生した場合　　　　(停電、電源、ケーブル等の故障、災害等)※ジャンク品に関しましては保障は御座いませんのでご了承ください。大阪府公安委員会　　　　　古物商許可証第622330134504号・お支払い方法・三菱東京UFJ銀行・三井住友銀行・かんたん決算・発送方法ヤマト運輸　　・送料大阪府から100サイズで発送　　※着払いでの発送には対応しておりません。九州　　　四国　　　中国　　　関西　　　北陸　　　中部1,296　　　1,296　　　1,188　　1,188　　　1,188　　　1,188信越　　　関東　　　南東北　　北東北　　北海道　　沖縄1,296　　　1,296　　　　1,404　　　1,512　　　1,944　　　2,376※注意記載の送料は実際の送料と異なる場合があります。表記の価格を送料とさせていただきますのでご了承願います。",12500,6500,"2014-05-19 22:43:52","2014-05-25 22:40:59","14","N","used",313
"179427518","2084193579","SONY VPCCW29FJ/白 Windows7/ブルーレイ/未使用バッテリー","平成22年3月にヤマダ電機で購入した、ソニーのVPCCW29FJのホワイトです。&nbsp;元箱、付属品は全て揃ってます。バッテリーは未使用です。おまけで、作成したリカバリーディスクをお付けします（DVD3枚）&nbsp;&nbsp;&nbsp;・OS⇔Windows7HomePremium64ビット正規版&nbsp;&nbsp;&nbsp;・プロセッサ⇔インテルCorei３３３０Mプロセッサー２．１３GHz&nbsp;&nbsp;&nbsp;・メモリー⇔４GBDDR3SDRAM、PC3-8500&nbsp;&nbsp;&nbsp;&nbsp;・ＨＤＤ⇔５００GB&nbsp;&nbsp;&nbsp;&nbsp;・ドライブ⇔Blurayディスクドライブ(DVDスーパーマルチ機能搭載)&nbsp;&nbsp;・カメラ機能⇔&nbsp;Webカメラ&nbsp;&nbsp;&nbsp;・ＵＳＢ⇔Hi-SpeedUSB(USB2.0)×3&nbsp;&nbsp;&nbsp;・HDMI⇔&nbsp;出力×1&nbsp;&nbsp;&nbsp;・Bluutooth⇔&nbsp;内蔵&nbsp;&nbsp;・グラフィック⇔&nbsp;NVIDIAGeForce310MGPU&nbsp;&nbsp;&nbsp;・ディスプレイ⇔14型ワイド(16:9)、TFTカラー液晶［VAIOディスプレイ］[LED]&nbsp;&nbsp;・ワイヤレス無線ＬＡＮ⇔IEEE802.11b/g/n準拠、WPA2対応、Wi-Fi適合&nbsp;&nbsp;&nbsp;詳しくはこちら&nbsp;動作確認・清掃済みですが、中古品の為、ノークレーム、ノーリターンでお願いします。",20000,1000,"2014-05-20 15:22:52","2014-05-27 22:17:53","16","5","used",9202
"179432486","2084193578","極上美品 VAIO Win8.1Pro/2GB/100GB/Office2013","極上美品VAIOWin8.1Pro/2GB/100GB/Office2013●●ご覧いただきありがとうございます。●●●【商品詳細】●●・メーカー：　SONY●・型式：VGN-FS33B　　分解整備済み●・OS：最新OSWindows　8.1　Professional　　●※OSをWindowsUpDateにて最新の状態までアップデート済みです。　　　　　　　　　　　　　　●・CPU：　IntelPentiumMプロセッサー740（1.73GHz）●・メモリ：　2GB●・ハードディスク容量：100GB　検査済み　良品です。●・画面サイズ：　15.4インチ光沢ワイド液晶●・ドライブ：DVDスーパーマルチドライブ　　※DVD読み込み確認済み●・Office：　マイクロソフト　Office2013Professional●　※Word,　Excel、PowerPoint、Outlook,OneNote,Access,Publisher等●　※インストール正規認証済み　メディアは付属しません。●・無線LAN：　有り●・バッテリの状態：　良好　※バッテリー起動可能●・電源ケーブル：　有●●●当パソコンは、最新OSのWindows8.1Professional　搭載のパソコンです。●スタートボタンの復活等によりWin7、Vista、XPをお使いの方でも抵抗なくお使い頂けます。●また、スペックも高速CPUのPentiumM搭載！メモリも2GBと大容量です。●家電量販店で、現在販売されているパソコンと比較しても見劣りしないスペックです。●購入後も、数年間は現役でお使い頂けます。この機会に是非落札ください。●●【付属品】●ACアダプタ●●●●【製品状態】●動作良好です。多少の使用感はございますが、比較的きれいな状態だと思われます。●液晶のドット抜けや、キーボードの文字消も目視確認ですが見当たりません。●外装エタノール清掃済み。●分解整備済み。（CPU放熱グリス再塗布、クーラーファン清掃）●清掃、メンテナンス、セットアップを念入りにおこなっておりますので、●快適にお使いいただけると思います。●●●●【コメント】●当方二級パソコン整備副士資格を保持しております。●出品中の商品すべてメンテナンス済みです。●商品到着後、すぐにお使い頂けます。●弊方でできる限りの検査をしておりますので、安心してお使い頂けると思います。●●●【保証内容】●当店での製品保証は、商品到着後3日間です。電源が入らない等の致命的な欠陥に限る。●※PC本体の微妙な傷やバッテリー等の消耗品は保証外とさせて頂きます。●バッテリーに関しては保証対象外のため、動作確認も基本的に行っておりません。●当方にて、商品内部及び外観の検査はしておりますが多少の見落としなどあるかもしれません。　●(ゴム足の欠品や、細かなキーボードチェック、軽微な傷等)●多少の見落としについては、基本的にノーリターン・ノークレームでお願い致します。●●●【送料について】●送料は全国一律1200円とさせて頂きます。(沖縄県、北海道、離島の場合プラス600円)●※実際の送料と差額が出てもご容赦願います。●●●【お支払方法】●お支払方法は、代引き・銀行振込・かんたん決済可能です。●代引きをご希望の方は、総額三万円以下の場合420円。●総額三万円以上の場合840円を代引き手数料として上乗せさせて頂きます。●●その他、ご質問等ございましたら質問お願い致します。●●それではよろしくお願い致します。●●【営業許可：大阪府公安委員会】●　第622280125787号●●弊社管理番号：TP1577●●●●+++　この商品説明はオークションプレートメーカー２で作成しました　+++No.111.001.009",2071,1,"2014-05-20 17:19:52","2014-05-26 23:18:50","5","N","used",1019
