,label,AuctionID,CategoryID,CategoryPath,Title,Id,Point,TotalGoodRating,TotalBadRating,IsSuspended,IsDeleted,ItemListURL,RatingURL,AuctionItemUrl,Image1,width,height,alt,Image2,width2,height3,alt4,Image3,width5,height6,alt7,Initprice,Price,Quantity,Bids,totalHighestBidders,IsMore,Id8,Point9,IsSuspended10,IsDeleted11,Condition,Comment,Allowed,Comment12,StartTime,EndTime,Bidorbuy,IsBidCreditRestrictions,IsBidderRestrictions,IsBidderRatioRestrictions,IsEarlyClosing,IsAutomaticExtension,IsOffer,IsCharity,StoreIcon,NewItemIcon,BuynowIcon,EasyPaymentIcon,FreeshippingIcon,FeaturedIcon,IsCreditCard,IsNetBank,totalBankMethodAvailable,Method,CashOnDelivery,PostalTransfer,totalOtherMethodAvailable,Method13,CashRegistration,BlindBusiness,SevenElevenReceive,ChargeForShipping,Location,IsWorldwide,ShipTime,Size,Weight,IsAdult,Proportion,AnsweredQAndANum,TaxRate,Reserved,totalShippingMethodAvailable,Name,PriceURL,SinglePrice,TaxinPrice,TaxinBidorbuy,YPoint,ns1:Message,ns1:Detail,ns1:Code
0,22,s350392100,2084193579,オークション > コンピュータ > パソコン > Windows > ノートブック、ノートパソコン > ソニー > 14インチ～,■新品■NEC■ LL550（２灯式）液晶インバーター PK07009G00,pc_parts001,1689,1708,19,False,False,http://auctions.yahooapis.jp/AuctionWebService/V2/sellingList?sellerID=pc_parts001,http://auctions.yahooapis.jp/AuctionWebService/V1/ShowRating?id=pc_parts001,http://page14.auctions.yahoo.co.jp/jp/auction/s350392100,http://auctions.c.yimg.jp/f36batchimg.auctions.yahoo.co.jp/users/4/3/8/3/pc_parts001-imgbatch_1363859766/488x366-2012110400001.jpg,488.0,366.0,,http://auctions.c.yimg.jp/f36batchimg.auctions.yahoo.co.jp/users/4/3/8/3/pc_parts001-imgbatch_1363859766/488x366-2012110400002.jpg,488.0,366.0,,http://auctions.c.yimg.jp/f36batchimg.auctions.yahoo.co.jp/users/4/3/8/3/pc_parts001-imgbatch_1363859766/488x366-2012110400003.jpg,488.0,366.0,,2000,2000,6,0,0.0,False,,,,,new,,True,,2014-04-20T17:59:57+09:00,2014-04-22T17:59:57+09:00,2200.0,False,True,False,True,True,False,False,http://i.yimg.jp/images/auct/template/ui/auc_mod/ic_9031.gif,http://i.yimg.jp/images/auct/template/ui/auc_mod/ic_9009.gif,http://i.yimg.jp/images/auct/template/ui/auc_mod/ic_9008.gif,http://i.yimg.jp/images/pay/icon_s16.gif,,,,,,,,,,,,impossible,impossible,winner,海外,True,after,－,－,False,0,0,,,,,,,,,,,,
1,22,s350392100,2084193579,オークション > コンピュータ > パソコン > Windows > ノートブック、ノートパソコン > ソニー > 14インチ～,■新品■NEC■ LL550（２灯式）液晶インバーター PK07009G00,pc_parts001,1689,1708,19,False,False,http://auctions.yahooapis.jp/AuctionWebService/V2/sellingList?sellerID=pc_parts001,http://auctions.yahooapis.jp/AuctionWebService/V1/ShowRating?id=pc_parts001,http://page14.auctions.yahoo.co.jp/jp/auction/s350392100,http://auctions.c.yimg.jp/f36batchimg.auctions.yahoo.co.jp/users/4/3/8/3/pc_parts001-imgbatch_1363859766/488x366-2012110400001.jpg,488.0,366.0,,http://auctions.c.yimg.jp/f36batchimg.auctions.yahoo.co.jp/users/4/3/8/3/pc_parts001-imgbatch_1363859766/488x366-2012110400002.jpg,488.0,366.0,,http://auctions.c.yimg.jp/f36batchimg.auctions.yahoo.co.jp/users/4/3/8/3/pc_parts001-imgbatch_1363859766/488x366-2012110400003.jpg,488.0,366.0,,2000,2000,6,0,,,,,,,new,,True,,2014-04-20T17:59:57+09:00,2014-04-22T17:59:57+09:00,2200.0,False,True,False,True,True,False,False,http://i.yimg.jp/images/auct/template/ui/auc_mod/ic_9031.gif,http://i.yimg.jp/images/auct/template/ui/auc_mod/ic_9009.gif,http://i.yimg.jp/images/auct/template/ui/auc_mod/ic_9008.gif,http://i.yimg.jp/images/pay/icon_s16.gif,,,True,True,1.0,ジャパンネット銀行,,,,,,impossible,impossible,winner,海外,True,after,－,－,False,0,0,,,,,,,,,,,,
2,5,t218944897,2084193579,オークション > コンピュータ > パソコン > Windows > ノートブック、ノートパソコン > ソニー > 14インチ～,"PCG-Z1XE/B,Z1/P,Z1X/P,Z1V/P,Z1R/P用CD連接端子/Z1P-cdcon3",tenkaipc,11232,11237,5,False,False,http://auctions.yahooapis.jp/AuctionWebService/V2/sellingList?sellerID=tenkaipc,http://auctions.yahooapis.jp/AuctionWebService/V1/ShowRating?id=tenkaipc,http://page15.auctions.yahoo.co.jp/jp/auction/t218944897,http://auctions.c.yimg.jp/f27batchimg.auctions.yahoo.co.jp/users/6/4/0/4/tenkaipc-imgbatch_1310019383/600x450-2011070700511.jpg,600.0,450.0,,,,,,,,,,500,500,1,0,0.0,False,,,,,used,,True,説明を参照,2014-04-18T18:08:33+09:00,2014-04-20T18:08:33+09:00,600.0,False,True,False,True,True,False,False,http://i.yimg.jp/images/auct/template/ui/auc_mod/ic_9031.gif,,http://i.yimg.jp/images/auct/template/ui/auc_mod/ic_9008.gif,http://i.yimg.jp/images/pay/icon_s16.gif,,,,,,,,,,,,impossible,impossible,winner,東京都,False,after,－,－,False,0,0,,,,,,,,,,,,
3,5,t218944897,2084193579,オークション > コンピュータ > パソコン > Windows > ノートブック、ノートパソコン > ソニー > 14インチ～,"PCG-Z1XE/B,Z1/P,Z1X/P,Z1V/P,Z1R/P用CD連接端子/Z1P-cdcon3",tenkaipc,11232,11237,5,False,False,http://auctions.yahooapis.jp/AuctionWebService/V2/sellingList?sellerID=tenkaipc,http://auctions.yahooapis.jp/AuctionWebService/V1/ShowRating?id=tenkaipc,http://page15.auctions.yahoo.co.jp/jp/auction/t218944897,http://auctions.c.yimg.jp/f27batchimg.auctions.yahoo.co.jp/users/6/4/0/4/tenkaipc-imgbatch_1310019383/600x450-2011070700511.jpg,600.0,450.0,,,,,,,,,,500,500,1,0,,,,,,,used,,True,説明を参照,2014-04-18T18:08:33+09:00,2014-04-20T18:08:33+09:00,600.0,False,True,False,True,True,False,False,http://i.yimg.jp/images/auct/template/ui/auc_mod/ic_9031.gif,,http://i.yimg.jp/images/auct/template/ui/auc_mod/ic_9008.gif,http://i.yimg.jp/images/pay/icon_s16.gif,,,True,True,1.0,ジャパンネット銀行,,,,,,impossible,impossible,winner,東京都,False,after,－,－,False,0,0,,,,,,,,,,,,
4,7,c328754911,2084193579,オークション > コンピュータ > パソコン > Windows > ノートブック、ノートパソコン > ソニー > 14インチ～,"新品512mb/DDR2-667/PC5300/SONY VGN-FJ10,FJ11,VGN-BX90,BX96",tenkaipc,11232,11237,5,False,False,http://auctions.yahooapis.jp/AuctionWebService/V2/sellingList?sellerID=tenkaipc,http://auctions.yahooapis.jp/AuctionWebService/V1/ShowRating?id=tenkaipc,http://page3.auctions.yahoo.co.jp/jp/auction/c328754911,http://auctions.c.yimg.jp/f31batchimg.auctions.yahoo.co.jp/users/6/4/0/4/tenkaipc-imgbatch_1325207497/600x450-2011051100100-70.jpg,600.0,450.0,,,,,,,,,,985,985,1,0,0.0,False,,,,,new,,True,説明を参照,2014-04-18T18:08:42+09:00,2014-04-20T18:08:42+09:00,1000.0,False,True,False,True,True,False,False,http://i.yimg.jp/images/auct/template/ui/auc_mod/ic_9031.gif,http://i.yimg.jp/images/auct/template/ui/auc_mod/ic_9009.gif,http://i.yimg.jp/images/auct/template/ui/auc_mod/ic_9008.gif,http://i.yimg.jp/images/pay/icon_s16.gif,,,,,,,,,,,,impossible,impossible,winner,東京都,False,after,－,－,False,0,0,,,,,,,,,,,,
5,7,c328754911,2084193579,オークション > コンピュータ > パソコン > Windows > ノートブック、ノートパソコン > ソニー > 14インチ～,"新品512mb/DDR2-667/PC5300/SONY VGN-FJ10,FJ11,VGN-BX90,BX96",tenkaipc,11232,11237,5,False,False,http://auctions.yahooapis.jp/AuctionWebService/V2/sellingList?sellerID=tenkaipc,http://auctions.yahooapis.jp/AuctionWebService/V1/ShowRating?id=tenkaipc,http://page3.auctions.yahoo.co.jp/jp/auction/c328754911,http://auctions.c.yimg.jp/f31batchimg.auctions.yahoo.co.jp/users/6/4/0/4/tenkaipc-imgbatch_1325207497/600x450-2011051100100-70.jpg,600.0,450.0,,,,,,,,,,985,985,1,0,,,,,,,new,,True,説明を参照,2014-04-18T18:08:42+09:00,2014-04-20T18:08:42+09:00,1000.0,False,True,False,True,True,False,False,http://i.yimg.jp/images/auct/template/ui/auc_mod/ic_9031.gif,http://i.yimg.jp/images/auct/template/ui/auc_mod/ic_9009.gif,http://i.yimg.jp/images/auct/template/ui/auc_mod/ic_9008.gif,http://i.yimg.jp/images/pay/icon_s16.gif,,,True,True,1.0,ジャパンネット銀行,,,,,,impossible,impossible,winner,東京都,False,after,－,－,False,0,0,,,,,,,,,,,,
6,21,s234012093,2084193579,オークション > コンピュータ > パソコン > Windows > ノートブック、ノートパソコン > ソニー > 14インチ～,"PCG-Z1/P,Z1X/P,Z1V/P,Z1R/P,Z1VE,Z1XE/B用液晶ケーブル/Z1P-cab",tenkaipc,11232,11237,5,False,False,http://auctions.yahooapis.jp/AuctionWebService/V2/sellingList?sellerID=tenkaipc,http://auctions.yahooapis.jp/AuctionWebService/V1/ShowRating?id=tenkaipc,http://page14.auctions.yahoo.co.jp/jp/auction/s234012093,http://auctions.c.yimg.jp/f40batchimg.auctions.yahoo.co.jp/users/6/4/0/4/tenkaipc-imgbatch_1310018827/600x450-2011070700449.jpg,600.0,450.0,,,,,,,,,,689,689,4,0,0.0,False,,,,,used,,True,説明を参照,2014-04-18T18:08:58+09:00,2014-04-20T18:08:58+09:00,777.0,False,True,False,True,True,False,False,http://i.yimg.jp/images/auct/template/ui/auc_mod/ic_9031.gif,,http://i.yimg.jp/images/auct/template/ui/auc_mod/ic_9008.gif,http://i.yimg.jp/images/pay/icon_s16.gif,,,,,,,,,,,,impossible,impossible,winner,東京都,False,after,－,－,False,0,0,,,,,,,,,,,,
7,21,s234012093,2084193579,オークション > コンピュータ > パソコン > Windows > ノートブック、ノートパソコン > ソニー > 14インチ～,"PCG-Z1/P,Z1X/P,Z1V/P,Z1R/P,Z1VE,Z1XE/B用液晶ケーブル/Z1P-cab",tenkaipc,11232,11237,5,False,False,http://auctions.yahooapis.jp/AuctionWebService/V2/sellingList?sellerID=tenkaipc,http://auctions.yahooapis.jp/AuctionWebService/V1/ShowRating?id=tenkaipc,http://page14.auctions.yahoo.co.jp/jp/auction/s234012093,http://auctions.c.yimg.jp/f40batchimg.auctions.yahoo.co.jp/users/6/4/0/4/tenkaipc-imgbatch_1310018827/600x450-2011070700449.jpg,600.0,450.0,,,,,,,,,,689,689,4,0,,,,,,,used,,True,説明を参照,2014-04-18T18:08:58+09:00,2014-04-20T18:08:58+09:00,777.0,False,True,False,True,True,False,False,http://i.yimg.jp/images/auct/template/ui/auc_mod/ic_9031.gif,,http://i.yimg.jp/images/auct/template/ui/auc_mod/ic_9008.gif,http://i.yimg.jp/images/pay/icon_s16.gif,,,True,True,1.0,ジャパンネット銀行,,,,,,impossible,impossible,winner,東京都,False,after,－,－,False,0,0,,,,,,,,,,,,
8,24,t210726505,2084193579,オークション > コンピュータ > パソコン > Windows > ノートブック、ノートパソコン > ソニー > 14インチ～,"GR5E/BP,GR5F/BP,GR9/K,GR3N用14.1型液晶インバーター/GR5E-inv",tenkaipc,11232,11237,5,False,False,http://auctions.yahooapis.jp/AuctionWebService/V2/sellingList?sellerID=tenkaipc,http://auctions.yahooapis.jp/AuctionWebService/V1/ShowRating?id=tenkaipc,http://page15.auctions.yahoo.co.jp/jp/auction/t210726505,http://auctions.c.yimg.jp/f39batchimg.auctions.yahoo.co.jp/users/6/4/0/4/tenkaipc-imgbatch_1304908576/600x450-2010082500016.jpg,600.0,450.0,,,,,,,,,,785,785,1,0,0.0,False,,,,,used,,True,説明を参照,2014-04-18T18:08:59+09:00,2014-04-20T18:08:59+09:00,990.0,False,False,False,True,True,False,False,http://i.yimg.jp/images/auct/template/ui/auc_mod/ic_9031.gif,,http://i.yimg.jp/images/auct/template/ui/auc_mod/ic_9008.gif,http://i.yimg.jp/images/pay/icon_s16.gif,,,,,,,,,,,,impossible,impossible,winner,埼玉県,False,after,－,－,False,0,0,,,,,,,,,,,,
9,24,t210726505,2084193579,オークション > コンピュータ > パソコン > Windows > ノートブック、ノートパソコン > ソニー > 14インチ～,"GR5E/BP,GR5F/BP,GR9/K,GR3N用14.1型液晶インバーター/GR5E-inv",tenkaipc,11232,11237,5,False,False,http://auctions.yahooapis.jp/AuctionWebService/V2/sellingList?sellerID=tenkaipc,http://auctions.yahooapis.jp/AuctionWebService/V1/ShowRating?id=tenkaipc,http://page15.auctions.yahoo.co.jp/jp/auction/t210726505,http://auctions.c.yimg.jp/f39batchimg.auctions.yahoo.co.jp/users/6/4/0/4/tenkaipc-imgbatch_1304908576/600x450-2010082500016.jpg,600.0,450.0,,,,,,,,,,785,785,1,0,,,,,,,used,,True,説明を参照,2014-04-18T18:08:59+09:00,2014-04-20T18:08:59+09:00,990.0,False,False,False,True,True,False,False,http://i.yimg.jp/images/auct/template/ui/auc_mod/ic_9031.gif,,http://i.yimg.jp/images/auct/template/ui/auc_mod/ic_9008.gif,http://i.yimg.jp/images/pay/icon_s16.gif,,,True,True,1.0,ジャパンネット銀行,,,,,,impossible,impossible,winner,埼玉県,False,after,－,－,False,0,0,,,,,,,,,,,,
