label,dists,AuctionID,Title,Initprice,Price,Bids
,,,,,,
0,0.850512868,w91745820,SONY VAIO VGP-SP2 PC用 スピーカー 中古 ジャンク扱 MZ2485,500,500,0
0,0.351824415,h187561233,SONY VGN-FS30B CelM 1.4GHz 256M 80G BIOSOKジャンク#410-112,1,1602,8
0,0.659231354,x341072129,SONY VAIO PCG-FR77E/B Celeron 1.7GHz ノート ジャンク N7866,1100,1650,3
0,0.351824415,w100952990,SONY VGN-FE51B/H Core2Duo 1.66GHz 1G 100G ジャンク#410-115,1,2780,73
0,0.866306678,n129829467,SONY VGN-FE53B バックライトNG ジャンク #410-114,1,3370,10
0,0.837736667,w100941845,SONY VAIO VGN-CS50B ジャンク　部品取り,2500,4000,9
0,0.351824415,w100952626,SONY VGN-FJ11B CelM 1.5GHz 512MB 60GB XP ジャンク#410-113,1,5250,38
0,0.659231354,x341072141,SONY VAIO VGN-CR51B Celeron 540 ノート ジャンク N7860,1100,5750,27
0,0.703237791,m124058513,★☆VGN-CR61B_N BIOS OK ジャンク♪♪☆★,1000,5751,19
0,0.559429683,g138047517,ジャンク　VGN-CS62JB,5000,6950,4
0,0.559429683,g138047573,ジャンク　VGN-FZ71B,5800,8550,8
0,0.59825713,b158362361,SONY VGN-NW51FB ジャンク品 Core 2 DUO/4GB/WIN7,1,10000,11
0,0.351824415,b155845398,SONY VAIO VGN-FZ61B Core2Duo T7250 2.0GHz ジャンク,100,12505,29
0,0.54238725,p399115575,★SONY VAIO VGN-CS52JB/W Vista/Core2Duo P8600 ジャンク,15000,16500,2
,,,,,,
,,,,,,
2,0.599116639,183285023,難有ＳＯＮＹ　ＶＡＩＯ　ＶＰＣＥＡ３ＡＦＪ　薄ピンク,25000,30000,8
2,0.445490313,d154027111,ジャンク2台セット　　SONY　VAIO　VGN-E92B　・　VGN-K30B,1,2200,13
2,0.819697046,w100645654,VAIO SE ソニーストアモデル（VPCSE1AJ）　新品同様　補償有,70000,81000,13
2,0.781396592,o36460548,新品 　SONY(ソニー) VAIO Fit 15E SVF15317DJB,64800,64800,0
2,0.673787895,b155847686,■【新品】SONY　VGP-BPS24　VAIO純正　ノート用バッテリパック,6000,6000,2
2,0.49986716,r113030084,ソニーバイオ　16.1インチ　　DVD　,7220,7220,0
2,0.50685393,w100947205,美品　SONY VAIO VGN-CS91HS 　　32０ＧＢ　Win8.1搭載　動作品,2000,25600,25
2,0.840109855,w100696064,&#9825;　美品　SONY VAIO VGN-CS50B Win8.1搭載　&#9825;,2000,16050,20
2,0.455378876,d153768725,VAIO VGN-FS51B　中古　可動ジャンク扱い♪　SONY　typeF,5000,5000,1
2,0.72067226,d152037104,VPCEH3AJ 2.3GHz Corei3　メモリ4GB リカバリ付　PCG-71B11N,1,26100,71
2,0.500646954,183330147,ＳＯＮＹ　VPCEE35FJ　リカバリ済み,31000,35000,7
2,0.452682763,p399936285,SONY　VGN-NW50JB　CORE2　P8700　　ジャンク,8600,14060,11
2,0.925300599,k171301210,美品　VAIO Eシリーズ VPCEL15FJ/8G増設/500GB/Win7/office2010,49800,49800,1
