,ID,Price,Initprice,Bids,Title
0,s350392100 ,2000.0,2000.0,0, ■新品■NEC■ LL550（２灯式）液晶インバーター PK07009G00      
1,t218944897 ,500.0,500.0,0, PCG-Z1XE/B Z1/P Z1X/P Z1V/P Z1R/P用CD連接端子/Z1P-cdcon3  
2,c328754911 ,985.0,985.0,0, 新品512mb/DDR2-667/PC5300/SONY VGN-FJ10 FJ11 VGN-BX90 BX96   
3,s234012093 ,689.0,689.0,0, PCG-Z1/P Z1X/P Z1V/P Z1R/P Z1VE Z1XE/B用液晶ケーブル/Z1P-cab 
4,t210726505 ,785.0,785.0,0, GR5E/BP GR5F/BP GR9/K GR3N用14.1型液晶インバーター/GR5E-inv   
5,c272473882 ,885.0,885.0,0, PCG-GR5F/BP 　GR7  G9/K  R3N/BP用液晶ケーブル/gr5fcable   
6,w100454408 ,29800.0,1.0,23, 【爆発スタ】1円-美品/SONY-VAIO-S70-シャンパンゴールド/2GB      
7,w100455004 ,34800.0,1.0,6, 【爆発スタ１円】レッド*SONY-VAIO-VGN-CS62JB*2GB/300GB/OFFICE      
8,g134549923 ,900.0,900.0,0, 新春特価★Windows 8/7/XP/Vista高速化ソフト★驚速より確実高速      
9,v354887459 ,15500.0,12000.0,7, SONY VGN-CR92HS/Core2Duo2.1GHz/120G/DVD±RW/14WideTFT/OS無      
10,h184136204 ,800.0,800.0,0, ★ ジャンク SONYパワーアップステーションPCGA-PSX1      
11,f138861053 ,1300.0,1300.0,0, 【新品☆送料140円】SONY VGN-CS CPU ファン MCF-C29BM05      
12,d152024524 ,2720.0,1000.0,7, SONY PCG-Z1XE/B      
13,t314009211 ,1595.0,1595.0,0, 新品1GB/DDR2-667/PC5300/SONY VGN-FJ10 FJ11 VGN-BX90 BX96   
14,183285023 ,30000.0,25000.0,8, 難有ＳＯＮＹ　ＶＡＩＯ　ＶＰＣＥＡ３ＡＦＪ　薄ピンク      
15,b140182819 ,980.0,980.0,0, VGN-CR72B CR62B CR92 CR61B CR60B CS90用マイク入力/CR72B-mic 
16,m105942403 ,998.0,998.0,0, FJ91S FJ21B FJ11B FJ22B FJ92 FJ12B用ilink/FJ91S-ilink 
17,t218944893 ,500.0,500.0,0, PCG-Z1/P Z1X/P Z1V/P Z1R/P Z1VE Z1XE/B用アンテナー/Z1P-an 
18,x175110274 ,500.0,500.0,0, PCG-Z1/P Z1X/P Z1V/P Z1R/P Z1VE Z1XE/B用ヒンジカバー/Z1P-hgc 
19,g129734448 ,1000.0,1000.0,1, VAIO PCG-952B PCG-FX55/BP ジャンク      
20,r56192488 ,998.0,998.0,0, FJ21B FJ11B FJ22B FJ92 FJ12B FJ90 FJ91用散熱板/FJ21B-hp
